rank,nome,nota media
1,Gloomhaven,8.74
2,Pandemic Legacy: Season 1,8.59
3,Brass: Birmingham,8.66
4,Terraforming Mars,8.42
5,Twilight Imperium: Fourth Edition,8.67
6,Gloomhaven: Jaws of the Lion,8.67
7,Gaia Project,8.47
8,Star Wars: Rebellion,8.42
9,Through the Ages: A New Story of Civilization,8.38
10,War of the Ring: Second Edition,8.51
11,Spirit Island,8.36
12,Great Western Trail,8.29
13,Twilight Struggle,8.28
14,Scythe,8.22
15,The Castles of Burgundy,8.13
16,Nemesis,8.39
17,7 Wonders Duel,8.11
18,Dune: Imperium,8.33
19,Concordia,8.12
20,Terra Mystica,8.12
21,Brass: Lancashire,8.18
22,A Feast for Odin,8.21
23,Wingspan,8.10
24,Arkham Horror: The Card Game,8.16
25,Viticulture Essential Edition,8.06
26,Root,8.10
27,Orléans,8.07
28,Mage Knight Board Game,8.10
29,Everdell,8.10
30,Clank!: Legacy – Acquisitions Incorporated,8.69
31,Puerto Rico,7.97
32,Food Chain Magnate,8.12
33,Lost Ruins of Arnak,8.12
34,Caverna: The Cave Farmers,8.00
35,Eclipse: Second Dawn for the Galaxy,8.67
36,Blood Rage,7.99
37,Agricola,7.92
38,Marvel Champions: The Card Game,8.20
39,Too Many Bones,8.43
40,Maracaibo,8.19
41,Pandemic Legacy: Season 2,8.11
42,Mansions of Madness: Second Edition,8.02
43,Barrage,8.22
44,The Crew: The Quest for Planet Nine,7.96
45,Underwater Cities,8.11
46,Anachrony,8.11
47,Pax Pamir: Second Edition,8.35
48,Tzolk'in: The Mayan Calendar,7.89
49,Power Grid,7.84
50,Kingdom Death: Monster,8.60
51,Clans of Caledonia,7.99
52,The 7th Continent,8.04
53,Mechs vs. Minions,8.02
54,Star Wars: Imperial Assault,8.00
55,On Mars,8.26
56,Le Havre,7.87
57,The Gallerist,8.06
58,Azul,7.80
59,Lisboa,8.20
60,Eclipse,7.88
61,The Quacks of Quedlinburg,7.85
62,Crokinole,7.95
63,Through the Ages: A Story of Civilization,7.90
64,Android: Netrunner,7.87
65,Aeon's End,8.00
66,Paladins of the West Kingdom,8.03
67,Fields of Arle,8.08
68,Race for the Galaxy,7.76
69,Clank!: A Deck-Building Adventure,7.81
70,Robinson Crusoe: Adventures on the Cursed Island,7.82
71,Teotihuacan: City of Gods,7.93
72,The Voyages of Marco Polo,7.84
73,7 Wonders,7.73
74,Five Tribes,7.78
75,Agricola (Revised Edition),8.00
76,Lords of Waterdeep,7.75
77,Dominant Species,7.84
78,Grand Austria Hotel,7.88
79,Pandemic Legacy: Season 0,8.62
80,Tainted Grail: The Fall of Avalon,8.26
81,Keyflower,7.78
82,Architects of the West Kingdom,7.80
83,El Grande,7.75
84,Caylus,7.75
85,Battlestar Galactica: The Board Game,7.74
86,Twilight Imperium: Third Edition,7.82
87,Troyes,7.75
88,Dominion: Intrigue,7.71
89,The Lord of the Rings: Journeys in Middle-Earth,8.01
90,Mombasa,7.87
91,Eldritch Horror,7.78
92,Raiders of the North Sea,7.77
93,Rising Sun,7.83
94,Patchwork,7.64
95,Lorenzo il Magnifico,7.88
96,Russian Railroads,7.76
97,The Isle of Cats,7.91
98,Tigris & Euphrates,7.70
99,Decrypto,7.79
100,Trajan,7.76
101,Inis,7.81
102,Codenames,7.60
103,Roll for the Galaxy,7.65
104,Dominion,7.61
105,Clank! In! Space!: A Deck-Building Adventure,7.84
106,Pandemic,7.59
107,Champions of Midgard,7.76
108,Yokohama,7.84
109,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.70
110,Pandemic: Iberia,7.91
111,Cartographers,7.71
112,Aeon's End: War Eternal,8.37
113,Forbidden Stars,7.97
114,Kemet,7.70
115,Vinhos Deluxe Edition,8.17
116,Trickerion: Legends of Illusion,7.94
117,PARKS,7.79
118,Res Arcana,7.74
119,Kanban EV,8.62
120,Cthulhu: Death May Die,8.15
121,Alchemists,7.67
122,Legendary Encounters: An Alien Deck Building Game,7.78
123,Age of Steam,7.80
124,Endeavor: Age of Sail,7.97
125,Star Wars: X-Wing Miniatures Game,7.67
126,Star Realms,7.58
127,Stone Age,7.55
128,It's a Wonderful World,7.82
129,Targi,7.64
130,Watergate,7.91
131,Ticket to Ride: Europe,7.54
132,Hansa Teutonica,7.68
133,The Crew: Mission Deep Sea,8.45
134,Istanbul,7.57
135,Welcome To...,7.59
136,Descent: Journeys in the Dark (Second Edition),7.66
137,That's Pretty Clever!,7.62
138,War of the Ring,7.78
139,The Lord of the Rings: The Card Game,7.66
140,Chaos in the Old World,7.68
141,Azul: Summer Pavilion,7.77
142,Xia: Legends of a Drift System,7.88
143,Just One,7.62
144,Rajas of the Ganges,7.72
145,The Quest for El Dorado,7.62
146,Dead of Winter: A Crossroads Game,7.54
147,Jaipur,7.50
148,Railways of the World,7.69
149,The Resistance: Avalon,7.56
150,Memoir '44,7.56
151,Marco Polo II: In the Service of the Khan,8.08
152,Beyond the Sun,8.01
153,Castles of Mad King Ludwig,7.54
154,Ora et Labora,7.70
155,Cascadia,8.07
156,Dinosaur Island,7.68
157,Concordia Venus,8.35
158,A Game of Thrones: The Board Game (Second Edition),7.58
159,Horrified,7.78
160,Magic: The Gathering,7.54
161,Cosmic Encounter,7.54
162,Sagrada,7.51
163,This War of Mine: The Board Game,7.81
164,Sleeping Gods,8.51
165,Viscounts of the West Kingdom,7.98
166,Commands & Colors: Ancients,7.77
167,Sekigahara: The Unification of Japan,8.03
168,Suburbia,7.51
169,Glen More II: Chronicles,7.99
170,Ticket to Ride: Nordic Countries,7.63
171,Near and Far,7.77
172,Praga Caput Regni,8.10
173,Village,7.52
174,Combat Commander: Europe,7.95
175,Captain Sonar,7.55
176,Calico,7.76
177,Detective: A Modern Crime Board Game,7.81
178,Nations,7.63
179,Paths of Glory,8.05
180,Chronicles of Crime,7.73
181,Star Realms: Colony Wars,7.85
182,Codenames: Duet,7.53
183,Tyrants of the Underdark,7.91
184,Coimbra,7.67
